id,organization_id,name,slug,field_type,settings,created_at,updated_at
638c8821cbbaa100ccde0891,3Kyv3hvrybf_YohTZRgPV,Capacity,capacity,text,,1764008941,1764008941
e006d5823353b48a692fd886,3Kyv3hvrybf_YohTZRgPV,Gallery,gallery,text,,1764008941,1764008941
dfaff853d1f1aa97405eb75b,3Kyv3hvrybf_YohTZRgPV,Langlong,langlong,text,,1764008941,1764008941
a458843c0f8b14ef126d46b7,3Kyv3hvrybf_YohTZRgPV,Price Range Eur,price_range_eur,text,,1764008941,1764008941
8754f1bb60588b6288fad189,3Kyv3hvrybf_YohTZRgPV,Address,address,text,,1764008941,1764008941
f2b6758557a5f16edba695f2,3Kyv3hvrybf_YohTZRgPV,Associated University Hubspot Id,associated_university_hubspot_id,text,,1764008941,1764008941
f2ca25de093204af6891d10d,3Kyv3hvrybf_YohTZRgPV,Associated University Name,associated_university_name,text,,1764008941,1764008941
760726f6cea5ccc0ddca5887,3Kyv3hvrybf_YohTZRgPV,Program Name,program_name,text,,1764008941,1764008941
2d4c63729b4b7818e5a90de2,3Kyv3hvrybf_YohTZRgPV,About-program,about-program,text,,1764008941,1764008941
a66b4c3fce2b022795f6a5df,3Kyv3hvrybf_YohTZRgPV,Program-outcomes,program-outcomes,text,,1764008941,1764008941
6dacef6016ec9b2466bd5906,3Kyv3hvrybf_YohTZRgPV,Career-opportunities,career-opportunities,text,,1764008941,1764008941
8a3fa09aa08900205b2a9202,3Kyv3hvrybf_YohTZRgPV,Degree Level,degree_level,text,,1764008941,1764008941
b404745f7056c78ebb76dcf5,3Kyv3hvrybf_YohTZRgPV,Duration In Years,duration_in_years,text,,1764008941,1764008941
e4caa6a8145aaadea427b3b2,3Kyv3hvrybf_YohTZRgPV,Language,language,text,,1764008941,1764008941
08849b028a902ba36d309178,3Kyv3hvrybf_YohTZRgPV,Sinc Special Tuition Fee,sinc_special_tuition_fee,text,,1764008941,1764008941
7e99a683ce15da79a67778df,3Kyv3hvrybf_YohTZRgPV,Yearly Tuition Fee,yearly_tuition_fee,text,,1764008941,1764008941
84a454abd4ff59db7b493953,3Kyv3hvrybf_YohTZRgPV,Tuition Currency,tuition_currency,text,,1764008941,1764008941
f0acb74c44b2b623318a6d0c,3Kyv3hvrybf_YohTZRgPV,Additional Information,additional_information,text,,1764008941,1764008941
c0b0942b318c1e568a957fc8,3Kyv3hvrybf_YohTZRgPV,Disciplines,disciplines,text,,1764008941,1764008941
0b893c5d4b2f90e38c58a52f,3Kyv3hvrybf_YohTZRgPV,Study Format,study_format,text,,1764008941,1764008941
dd427cdee4dfb15fc233e9ad,3Kyv3hvrybf_YohTZRgPV,With Thesis Or Not,with_thesis_or_not,text,,1764008941,1764008941
c1b9e54071676fd050c4a785,3Kyv3hvrybf_YohTZRgPV,First Payment,first_payment,text,,1764008941,1764008941
faba38a974e0341fe949788a,3Kyv3hvrybf_YohTZRgPV,On Arrival Payment,on_arrival_payment,text,,1764008941,1764008941
46424b53e3cc67828444dc6a,3Kyv3hvrybf_YohTZRgPV,Reviewer Name,reviewer_name,text,,1764008941,1764008941
f019b94b64e7864fb0325d2d,3Kyv3hvrybf_YohTZRgPV,Avatar,avatar,text,,1764008941,1764008941
c37a06ab798842c8ae46a88e,3Kyv3hvrybf_YohTZRgPV,Review,review,text,,1764008941,1764008941
73f1d7520a08106191c0b346,3Kyv3hvrybf_YohTZRgPV,Rating,rating,text,,1764008941,1764008941
d4d14b7a1710aebc356a19c2,3Kyv3hvrybf_YohTZRgPV,Total Reviews,total_reviews,text,,1764008941,1764008941
5cbcdf85dacf99b85e90abdb,3Kyv3hvrybf_YohTZRgPV,Relative Time Description,relative_time_description,text,,1764008941,1764008941
a41c6813b765880218d9e6cf,3Kyv3hvrybf_YohTZRgPV,Review Link,review_link,text,,1764008941,1764008941
eb8cc67b77706b610bbfe6cd,3Kyv3hvrybf_YohTZRgPV,Review Unique Identifier,review_unique_identifier,text,,1764008941,1764008941
687fa7352aaf5a3788ba89eb,3Kyv3hvrybf_YohTZRgPV,University Name,university_name,text,,1764008941,1764008941
44331570b51eda4ebffdd175,3Kyv3hvrybf_YohTZRgPV,Country,country,text,,1764008941,1764008941
c1d0045d5060af552f81e4a1,3Kyv3hvrybf_YohTZRgPV,Logo,logo,text,,1764008941,1764008941
9f2b832d3203a148a7b1a36b,3Kyv3hvrybf_YohTZRgPV,University Background Image,university_background_image,text,,1764008941,1764008941
484b169103372935414abd86,3Kyv3hvrybf_YohTZRgPV,Photos,photos,text,,1764008941,1764008941
dd3afb5b684794d2790fec5b,3Kyv3hvrybf_YohTZRgPV,Founding Year,founding_year,text,,1764008941,1764008941
be1c3d9eefee12db12de6926,3Kyv3hvrybf_YohTZRgPV,Phone,phone,text,,1764008941,1764008941
