value_id,post_id,unknown_field_id,value,post_id_1,org_slug,org_id,post_type_slug,post_type_id,unknown_field_slug
c9cda9673efa60b0d19b3581,02d6a2a93a6e19012e9e173d,e1979e3081f51360e077cd00,wp-media-11931,02d6a2a93a6e19012e9e173d,paris-american-international-university,ND-k8iHHx70s5XaW28Mk2,programs,ce1eb9313998ef3ca6ff7621,unknown-field-e1979e30
97c6cde6da34fbb1e5778e88,02d6a2a93a6e19012e9e173d,055a06165c9a5a7a63806304,"<p>Upon successful completion of a Ph.D. program, students will be able to:</p>
<ul>
<li style=""border: none""><em>Conduct Original Research</em>: Design, execute, and present original research that contributes new knowledge to the field of study.</li>
<li style=""border: none""><em>Master Research Methodology:</em> Apply advanced qualitative, quantitative, and mixed-method research techniques to investigate complex issues.</li>
<li style=""border: none""><em>Demonstrate Critical Thinking:</em> Analyze and synthesize academic literature to identify gaps in knowledge and frame new research questions.</li>
<li style=""border: none""><em>Advance Scholarly Communication:</em> Produce high-quality academic publications, conference papers, and research presentations.</li>
<li style=""border: none""><em>Apply Ethical Research Practices:</em> Uphold ethical standards in research design, data collection, and dissemination of findings.</li>
<li style=""border: none""><em>Foster Intellectual Leadership:</em> Lead and contribute to scholarly communities through peer review, collaboration, and academic discourse.</li>
<li style=""border: none""><em>Develop Pedagogical Skills:</em> Acquire teaching and mentorship skills to support the next generation of scholars and professionals.</li>
<li style=""border: none""><em>Contribute to Theoretical and Practical Knowledge</em>: Bridge theory and practice by developing innovative insights and solutions for real-world challenges.</li>
</ul>
",02d6a2a93a6e19012e9e173d,paris-american-international-university,ND-k8iHHx70s5XaW28Mk2,programs,ce1eb9313998ef3ca6ff7621,unknown-field-055a0616
cf87985748e3b2938637ecab,02d6a2a93a6e19012e9e173d,fa0c2f43ef0e8ae956cf57f8,"<p><strong>Year 1-4 </strong></p>
<p>Advanced Research Methods 1 (PHD2401)</p>
<p>Advanced Research Methods 1 (PHD2402)</p>
",02d6a2a93a6e19012e9e173d,paris-american-international-university,ND-k8iHHx70s5XaW28Mk2,programs,ce1eb9313998ef3ca6ff7621,unknown-field-fa0c2f43
1b56c013ef3d3a96fff79234,02d6a2a93a6e19012e9e173d,3e4817735068f638af98ab77,"<p>A PhD in History offers a broad range of career paths in academia, research, public history, government, archives, publishing, and more. Graduates can pursue the following careers:</p>
<ol>
<li><strong>University Professor or Lecturer</strong>: Teach history at the university level, conduct research, and publish scholarly articles and books. History professors often shape academic discourse and mentor the next generation of historians.</li>
<li><strong>Historian or Researcher</strong>: Work as a historian for academic institutions, research organizations, museums, or government agencies. Historians conduct original research, analyze primary sources, and contribute to historical scholarship in specific areas or time periods.</li>
<li><strong>Archivist or Curator</strong>: Manage historical documents, manuscripts, and artifacts. Archivists work in libraries, museums, and historical sites, preserving and organizing collections for public and scholarly use.</li>
<li><strong>Public Historian</strong>: Engage with the public through museums, historical sites, documentaries, and historical consulting. Public historians bring history to life by helping communities understand and appreciate their historical heritage.</li>
<li><strong>Government or Policy Advisor</strong>: Use historical research to inform policy decisions, particularly in areas such as education, culture, heritage preservation, and diplomacy. Government agencies or think tanks may employ historians to provide context and perspective on contemporary issues.</li>
<li><strong>Journalist or Writer</strong>: Write articles, books, or documentaries that explore historical events, figures, or themes. Historians can bring their research skills to writing compelling narratives that educate and inform the public about the past.</li>
<li><strong>Editor or Publisher</strong>: Work in publishing houses, journals, or digital media outlets, editing and publishing works related to historical topics. Many PhD graduates in History find opportunities in academic publishing or general media, contributing their expertise to historical narratives.</li>
<li><strong>Cultural Resource Manager</strong>: Work in the preservation of historical landmarks, monuments, and cultural heritage sites. Cultural resource managers ensure that historical and cultural sites are protected and maintained.</li>
<li><strong>Genealogist</strong>: Use historical research techniques to trace family histories, providing services to individuals, corporations, or government agencies. Genealogy experts often work independently or with archival organizations.</li>
<li><strong>Consultant</strong>: Provide historical expertise to various organizations, including film and television production companies, political campaigns, or corporations. Consultants help ensure historical accuracy in media, projects, and business strategies.</li>
</ol>
",02d6a2a93a6e19012e9e173d,paris-american-international-university,ND-k8iHHx70s5XaW28Mk2,programs,ce1eb9313998ef3ca6ff7621,unknown-field-3e481773
9840617833eff13d82336c13,0311a12ce948cc5d3ca3a7d0,a6e4b5c1173e11aec04a5692,wp-media-16563,0311a12ce948cc5d3ca3a7d0,paris-american-international-university,ND-k8iHHx70s5XaW28Mk2,programs,ce1eb9313998ef3ca6ff7621,unknown-field-a6e4b5c1
8dde9047e2d7dc8f5ff47455,0311a12ce948cc5d3ca3a7d0,6d9bc01d9a64ad49ed1270eb,"<p>Graduates of the PAIU Doctor of Business Administration program will be prepared to:</p>
<ul>
<li>Evaluate business theory and practice from an international perspective.</li>
<li>Formulate effective solutions to complex, real-world business problems.</li>
<li>Apply current research literature to practical issues found within a business setting.</li>
<li>Evaluate scholarly research in business and management.</li>
<li>Design rigorous research in the English language that contributes to the professional body of<br />
business knowledge.</li>
<li>The ability to make effective decisions by integrating theories, insights, and practical<br />
knowledge.</li>
<li>Evaluate cultural, ethical, and global issues and their impact on the business environment.</li>
</ul>
",0311a12ce948cc5d3ca3a7d0,paris-american-international-university,ND-k8iHHx70s5XaW28Mk2,programs,ce1eb9313998ef3ca6ff7621,unknown-field-6d9bc01d
28220b59ffd4c94a9a6fbd0f,0311a12ce948cc5d3ca3a7d0,c3b7c6ce0ad21fe4da8b8381,"<p><strong>Year 1-4</strong></p>
<p>Advanced Research Methods 1 (PHD2401)<br />
Advanced Research Methods 1 (PHD2402)</p>
",0311a12ce948cc5d3ca3a7d0,paris-american-international-university,ND-k8iHHx70s5XaW28Mk2,programs,ce1eb9313998ef3ca6ff7621,unknown-field-c3b7c6ce
f698f1e9ef9ae15edd3eaa92,04749f53d054efce12402710,65f740b7f9bb6da2ec72feec,wp-media-13643,04749f53d054efce12402710,paris-american-international-university,ND-k8iHHx70s5XaW28Mk2,programs,ce1eb9313998ef3ca6ff7621,unknown-field-65f740b7
2717a5fc85aab68d0b890e72,04749f53d054efce12402710,de258de1a8914043d3dd0b12,"<p>By the end of the <span style=""font-size: 11px"">Master in Data Science program</span>, students will be able to:</p>
<ul>
<li><em>Demonstrate Proficiency in Data Analysis</em>: Apply advanced statistical and analytical techniques to interpret and visualize data, deriving actionable insights for decision-making.</li>
<li><em>Utilize Machine Learning Algorithms:</em> Leverage machine learning models and algorithms to develop predictive analytics and automate data processing tasks.</li>
<li><em>Conduct Data Mining:</em> Execute data mining techniques to uncover patterns and trends within large datasets, contributing to strategic business initiatives.</li>
<li><em>Communicate Data Findings Effectively:</em> Exhibit strong communication skills to convey complex data concepts and analytical results to both technical and non-technical audiences.</li>
<li><em>Implement Data Management Practices:</em> Design and implement robust data management practices, ensuring data integrity, confidentiality, and accessibility across organizational systems.</li>
<li><em>Engage in Ethical Data Practices:</em> Understand and apply ethical considerations surrounding data usage, compliance with regulations, and responsible data handling.</li>
<li><em>Foster Innovation through Data-Driven Solutions:</em> Develop innovative data-driven strategies that support organizational goals and enhance operational efficiency.</li>
<li><em>Collaborate in Data-Driven Projects</em>: Work effectively in interdisciplinary teams to analyze and solve complex problems, leveraging diverse skills and perspectives to achieve common objectives.</li>
</ul>
",04749f53d054efce12402710,paris-american-international-university,ND-k8iHHx70s5XaW28Mk2,programs,ce1eb9313998ef3ca6ff7621,unknown-field-de258de1
b363000ba511a26f934f49f1,04749f53d054efce12402710,7387c8cb330aae305efddedf,"<p><strong>Course Overview</strong></p>
<p><strong>Year 1 (Semester 1-2)</strong></p>
<p>Quantitative Fundamentals</p>
<p>Data Structures and Algorithm</p>
<p>Programming with R and Python</p>
<p>Computational Statistics &amp; Probability</p>
<p>Cloud Computing</p>
<p>AI &amp; Humanity: The Ethics of Data Science</p>
<p>&nbsp;</p>
<p><strong>Year 2 (Semester 3-4)</strong></p>
<p>Machine Learning</p>
<p>Distributed Algorithms and Optimization</p>
<p>Design and Analysis of Experiments</p>
<p>Deep Learning</p>
<p>Natural Language Processing</p>
<p>Capstone Project</p>
",04749f53d054efce12402710,paris-american-international-university,ND-k8iHHx70s5XaW28Mk2,programs,ce1eb9313998ef3ca6ff7621,unknown-field-7387c8cb
